[2025-02-18 22:04:41,406] multiqc                                            [DEBUG  ]  This is MultiQC v1.21
[2025-02-18 22:04:45,472] multiqc                                            [INFO   ]  Prepending directory to sample names
[2025-02-18 22:04:45,473] multiqc                                            [INFO   ]  Only using modules: custom_content, fastqc, fastp, picard, samtools, mosdepth, gatk, bcftools, vcftools, snpeff, vep
[2025-02-18 22:04:45,473] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, fastqc, fastp, picard, samtools, mosdepth, gatk, bcftools, vcftools, snpeff, vep
[2025-02-18 22:04:45,473] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /scratch/tmpt5dyk7qe
[2025-02-18 22:04:45,474] multiqc                                            [INFO   ]  Search path : /vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/analysis/nfcore_sarek_rerun
[2025-02-18 22:04:45,475] multiqc                                            [DEBUG  ]  Ignored 285 search patterns as didn't match running modules.
[2025-02-18 22:05:10,376] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_directory_fn_ignore_dirs: 1736] // [skipped_no_match: 757] // [skipped_module_specific_max_filesize: 269] // [skipped_ignore_pattern: 177] // [skipped_filesize_limit: 36]
[2025-02-18 22:05:11,547] multiqc.modules.custom_content.custom_content      [DEBUG  ]  No samples found: custom content (dedup_metrics)
[2025-02-18 22:05:11,547] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-sarek-summary: Found 1 sample (html)
[2025-02-18 22:05:11,547] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-sarek-methods-description: Found 1 sample (html)
[2025-02-18 22:05:11,685] multiqc.modules.fastp.fastp                        [INFO   ]  Found 60 reports
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A'
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1'
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1
[2025-02-18 22:05:11,686] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1'
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_1
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2'
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A'
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A
[2025-02-18 22:05:11,687] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2'
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | KMS12BM-L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A_2
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A'
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A
[2025-02-18 22:05:11,688] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_1'
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_1
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_1
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A'
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A
[2025-02-18 22:05:11,689] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_2'
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_2
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_2
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2'
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_2
[2025-02-18 22:05:11,690] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_1'
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_1
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | OPM2-L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_1
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3'
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1'
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
[2025-02-18 22:05:11,691] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2'
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3'
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,692] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1'
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2'
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,693] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | REH-L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1'
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2'
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1'
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1
[2025-02-18 22:05:11,694] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A_1
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2'
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A_2
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A'
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A
[2025-02-18 22:05:11,695] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A'
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: xplus_sns | MM1S-L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3'
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3
[2025-02-18 22:05:11,696] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | KMS12BM-B2403418436_KMS-812-5mil-DE090-2A1A-3
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | KMS12BM-B2403418434_KMS-812-5mil-DE090-2A1A-1'
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | KMS12BM-B2403418434_KMS-812-5mil-DE090-2A1A-1
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | KMS12BM-B2403418434_KMS-812-5mil-DE090-2A1A-1
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | KMS12BM-B2403418435_KMS-812-5mil-DE090-2A1A-2'
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | KMS12BM-B2403418435_KMS-812-5mil-DE090-2A1A-2
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | KMS12BM-B2403418435_KMS-812-5mil-DE090-2A1A-2
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | OPM2-B2403418433_5mil-OPM2-DE090-1A1A-3'
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | OPM2-B2403418433_5mil-OPM2-DE090-1A1A-3
[2025-02-18 22:05:11,697] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | OPM2-B2403418433_5mil-OPM2-DE090-1A1A-3
[2025-02-18 22:05:11,698] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1'
[2025-02-18 22:05:11,698] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1
[2025-02-18 22:05:11,698] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | OPM2-B2403418431_5mil-OPM2-DE090-1A1A-1
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | OPM2-B2403418432_5mil-OPM2-DE090-1A1A-2'
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | OPM2-B2403418432_5mil-OPM2-DE090-1A1A-2
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | OPM2-B2403418432_5mil-OPM2-DE090-1A1A-2
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | REH-B2403418442_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3'
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | REH-B2403418442_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | REH-B2403418442_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | REH-B2403418441_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2'
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | REH-B2403418441_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,699] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | REH-B2403418441_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2
[2025-02-18 22:05:11,700] multiqc.modules.fastp.fastp                        [DEBUG  ]  fastp JSON did not have a 'adapter_cutting' key, skipping: 'aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1'
[2025-02-18 22:05:11,700] multiqc.modules.fastp.fastp                        [DEBUG  ]  Could not calculate 'pct_adapter' (KeyError): aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
[2025-02-18 22:05:11,700] multiqc.modules.fastp.fastp                        [DEBUG  ]  No duplication rate plot data: aviti_ngi | REH-B2403418440_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1
