## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_REH.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_REH.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/REH/REH.md.cram OUTPUT=picard/aviti_ngi_REH.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 19:08:45 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	23	23595456	2733504	22	1.039043	0.000628			
All Reads	ALL	24	30440211	3461459	23	1.019891	0.000548			
All Reads	ALL	25	38161832	4203004	24	0.987808	0.000482			
All Reads	ALL	26	46467619	5072160	25	0.979004	0.000435			
All Reads	ALL	27	55146501	5912196	26	0.961552	0.000395			
All Reads	ALL	28	63905454	6827144	26	0.958171	0.000367			
All Reads	ALL	29	72443004	7724759	26	0.95638	0.000344			
All Reads	ALL	30	80580387	8574679	26	0.9544	0.000326			
All Reads	ALL	31	88162801	9381452	26	0.954392	0.000312			
All Reads	ALL	32	95035528	10169837	25	0.959776	0.000301			
All Reads	ALL	33	101104524	10911983	25	0.968	0.000293			
All Reads	ALL	34	106384207	11583119	25	0.976541	0.000287			
All Reads	ALL	35	110784297	12207008	25	0.988264	0.000283			
All Reads	ALL	36	114264456	12718575	24	0.998319	0.00028			
All Reads	ALL	37	116112027	12975531	24	1.002282	0.000278			
All Reads	ALL	38	115911645	13007731	24	1.006506	0.000279			
All Reads	ALL	39	113905364	12796211	24	1.007579	0.000282			
All Reads	ALL	40	110368956	12571346	23	1.021591	0.000288			
All Reads	ALL	41	105410594	11955542	22	1.017249	0.000294			
All Reads	ALL	42	99544218	11302288	22	1.018339	0.000303			
All Reads	ALL	43	93498632	10433654	23	1.00086	0.00031			
All Reads	ALL	44	88082154	9662567	24	0.98389	0.000317			
All Reads	ALL	45	83711976	9135141	24	0.978745	0.000324			
All Reads	ALL	46	80341334	8776186	24	0.979735	0.000331			
All Reads	ALL	47	77642362	8513497	24	0.983448	0.000337			
All Reads	ALL	48	74936279	8248249	24	0.987215	0.000344			
All Reads	ALL	49	71643163	7905243	24	0.989652	0.000352			
All Reads	ALL	50	67487064	7468040	24	0.992495	0.000363			
All Reads	ALL	51	62640588	6951475	24	0.995321	0.000378			
All Reads	ALL	52	57626176	6413634	24	0.99822	0.000394			
All Reads	ALL	53	52943343	5926598	24	1.004006	0.000412			
All Reads	ALL	54	48772513	5499439	24	1.011312	0.000431			
All Reads	ALL	55	45092755	5133245	24	1.021004	0.000451			
All Reads	ALL	56	41546483	4777792	24	1.031419	0.000472			
All Reads	ALL	57	37775417	4381611	24	1.040319	0.000497			
All Reads	ALL	58	33620279	3926408	24	1.047457	0.000529			
All Reads	ALL	59	29119333	3422697	24	1.054215	0.00057			
All Reads	ALL	60	24607076	2907499	24	1.059746	0.000622			
All Reads	ALL	61	20442247	2426608	23	1.064665	0.000683			
All Reads	ALL	62	16888056	2014427	23	1.069828	0.000754			
All Reads	ALL	63	13953520	1678384	23	1.078822	0.000833			
All Reads	ALL	64	11533648	1398169	22	1.087264	0.00092			
All Reads	ALL	65	9516463	1165547	22	1.09849	0.001017			
All Reads	ALL	66	7844747	967145	22	1.105744	0.001124			
All Reads	ALL	67	6376889	794431	21	1.11735	0.001254			
All Reads	ALL	68	5103178	642463	21	1.129144	0.001409			
All Reads	ALL	69	4086242	513901	21	1.12797	0.001573			
All Reads	ALL	70	3279236	413193	21	1.130114	0.001758			
All Reads	ALL	71	2626766	328249	21	1.12079	0.001956			
All Reads	ALL	72	2126045	265702	20	1.120894	0.002175			
All Reads	ALL	73	1735600	220742	20	1.140716	0.002428			
All Reads	ALL	74	1432212	183692	20	1.150337	0.002684			
All Reads	ALL	75	1205854	160732	20	1.1955	0.002982			
All Reads	ALL	76	1039412	138260	20	1.193029	0.003209			
All Reads	ALL	77	914623	124609	20	1.221939	0.003462			
All Reads	ALL	78	813919	113368	19	1.249256	0.00371			
All Reads	ALL	79	710475	98678	19	1.2457	0.003966			
All Reads	ALL	80	605953	83809	19	1.240491	0.004285			
All Reads	ALL	81	510051	70507	19	1.239826	0.004669			
All Reads	ALL	82	428619	61909	19	1.295461	0.005207			
All Reads	ALL	83	352749	50993	19	1.296543	0.005742			
All Reads	ALL	84	276293	43113	19	1.399524	0.00674			
All Reads	ALL	85	200807	32796	19	1.464819	0.008089			
All Reads	ALL	86	134275	24769	19	1.654457	0.010512			
All Reads	ALL	87	88064	18458	19	1.879872	0.013837			
All Reads	ALL	88	60774	12580	19	1.856542	0.016553			
All Reads	ALL	89	39373	9901	18	2.255395	0.022666			
All Reads	ALL	90	25721	5865	18	2.045136	0.026705			
All Reads	ALL	91	16577	8602	20	4.654098	0.050181			
All Reads	ALL	92	9918	2887	18	2.610747	0.048589			
All Reads	ALL	93	6247	2404	19	3.451477	0.070394			
All Reads	ALL	94	3541	14256	18	36.108864	0.302423			
All Reads	ALL	95	1700	19631	17	103.570378	0.739204			
All Reads	ALL	96	986	9212	16	83.795187	0.873056			
All Reads	ALL	97	658	43733	16	596.108669	2.850498			
All Reads	ALL	98	328	37098	16	1014.422128	5.266759			
All Reads	ALL	99	133	4862	15	327.872789	4.702165			
All Reads	ALL	100	339	5	17	0.132286	0.05916			


