## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_KMS12BM.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_KMS12BM.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/KMS12BM/KMS12BM.md.cram OUTPUT=picard/aviti_ngi_KMS12BM.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 18:57:51 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	93	6247	2876	19	3.544576	0.066095			
All Reads	ALL	94	3541	17089	18	37.15674	0.284236			
All Reads	ALL	95	1700	23632	17	107.028252	0.696223			
All Reads	ALL	96	986	11364	16	88.736273	0.832407			
All Reads	ALL	97	658	53428	16	625.158152	2.704615			
All Reads	ALL	98	328	45256	16	1062.304931	4.99357			
All Reads	ALL	99	133	6031	15	349.127905	4.495623			
All Reads	ALL	100	339	11	15	0.249827	0.075326			


