## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/aviti_ngi_OPM2.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/aviti_ngi_OPM2.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/aviti_ngi/outdir/preprocessing/markduplicates/OPM2/OPM2.md.cram OUTPUT=picard/aviti_ngi_OPM2.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 18:19:15 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	24	30440211	4450627	24	0.992833	0.000471			
All Reads	ALL	25	38161832	5491207	25	0.977105	0.000417			
All Reads	ALL	26	46467619	6644909	26	0.971049	0.000377			
All Reads	ALL	27	55146501	7815887	26	0.962416	0.000344			
All Reads	ALL	28	63905454	9032679	26	0.959801	0.000319			
All Reads	ALL	29	72443004	10238419	26	0.959708	0.0003			
All Reads	ALL	30	80580387	11380891	26	0.959068	0.000284			
All Reads	ALL	31	88162801	12471350	26	0.960574	0.000272			
All Reads	ALL	32	95035528	13541197	26	0.96755	0.000263			
All Reads	ALL	33	101104524	14577435	26	0.979069	0.000256			
All Reads	ALL	34	106384207	15473447	25	0.987671	0.000251			
All Reads	ALL	35	110784297	16382902	25	1.004188	0.000248			
All Reads	ALL	36	114264456	17163835	25	1.020013	0.000246			
All Reads	ALL	37	116112027	17563811	24	1.027174	0.000245			
All Reads	ALL	38	115911645	17566711	24	1.02912	0.000246			
All Reads	ALL	39	113905364	17198152	24	1.025275	0.000247			
All Reads	ALL	40	110368956	16801077	23	1.033696	0.000252			
All Reads	ALL	41	105410594	15893571	23	1.023858	0.000257			
All Reads	ALL	42	99544218	14979401	23	1.021835	0.000264			
All Reads	ALL	43	93498632	13827033	23	1.004214	0.00027			
All Reads	ALL	44	88082154	12796550	24	0.986524	0.000276			
All Reads	ALL	45	83711976	12090316	24	0.980737	0.000282			
All Reads	ALL	46	80341334	11599042	25	0.98036	0.000288			
All Reads	ALL	47	77642362	11236468	25	0.982729	0.000293			
All Reads	ALL	48	74936279	10871251	24	0.985122	0.000299			
All Reads	ALL	49	71643163	10410878	24	0.986768	0.000306			
All Reads	ALL	50	67487064	9824862	25	0.988572	0.000315			
All Reads	ALL	51	62640588	9128406	25	0.989559	0.000328			
All Reads	ALL	52	57626176	8422878	25	0.992529	0.000342			
All Reads	ALL	53	52943343	7774544	25	0.997163	0.000358			
All Reads	ALL	54	48772513	7206688	25	1.003375	0.000374			
All Reads	ALL	55	45092755	6714852	25	1.011189	0.00039			
All Reads	ALL	56	41546483	6234149	25	1.018933	0.000408			
All Reads	ALL	57	37775417	5707858	24	1.026045	0.000429			
All Reads	ALL	58	33620279	5095498	24	1.029172	0.000456			
All Reads	ALL	59	29119333	4422427	24	1.031292	0.00049			
All Reads	ALL	60	24607076	3742650	24	1.032813	0.000534			
All Reads	ALL	61	20442247	3106464	24	1.031906	0.000585			
All Reads	ALL	62	16888056	2571728	23	1.034065	0.000645			
All Reads	ALL	63	13953520	2126666	23	1.034947	0.00071			
All Reads	ALL	64	11533648	1764817	23	1.039048	0.000782			
All Reads	ALL	65	9516463	1464204	22	1.044789	0.000863			
All Reads	ALL	66	7844747	1208909	22	1.046447	0.000952			
All Reads	ALL	67	6376889	986408	22	1.050389	0.001058			
All Reads	ALL	68	5103178	794715	21	1.057483	0.001186			
All Reads	ALL	69	4086242	636678	21	1.058031	0.001326			
All Reads	ALL	70	3279236	512166	21	1.060573	0.001482			
All Reads	ALL	71	2626766	405771	21	1.048968	0.001647			
All Reads	ALL	72	2126045	328657	20	1.049719	0.001831			
All Reads	ALL	73	1735600	269672	20	1.055088	0.002032			
All Reads	ALL	74	1432212	221469	20	1.050046	0.002231			
All Reads	ALL	75	1205854	190363	20	1.071989	0.002457			
All Reads	ALL	76	1039412	161381	20	1.054307	0.002624			
All Reads	ALL	77	914623	142445	20	1.057566	0.002802			
All Reads	ALL	78	813919	129750	19	1.082502	0.003005			
All Reads	ALL	79	710475	113377	19	1.083624	0.003218			
All Reads	ALL	80	605953	95983	19	1.075618	0.003472			
All Reads	ALL	81	510051	78277	19	1.042133	0.003725			
All Reads	ALL	82	428619	65826	20	1.042866	0.004065			
All Reads	ALL	83	352749	54911	19	1.057051	0.004511			
All Reads	ALL	84	276293	44460	19	1.092703	0.005182			
All Reads	ALL	85	200807	32830	19	1.110183	0.006127			
All Reads	ALL	86	134275	22464	19	1.136042	0.00758			
All Reads	ALL	87	88064	15607	19	1.203438	0.009633			
All Reads	ALL	88	60774	10813	19	1.208178	0.011619			
All Reads	ALL	89	39373	8336	19	1.437678	0.015746			
All Reads	ALL	90	25721	4764	19	1.257727	0.018222			
All Reads	ALL	91	16577	8889	21	3.641242	0.038621			
All Reads	ALL	92	9918	2192	18	1.500787	0.032055			
All Reads	ALL	93	6247	2069	19	2.249011	0.049444			
All Reads	ALL	94	3541	17964	18	34.449244	0.257027			
All Reads	ALL	95	1700	25125	17	100.359785	0.63315			
All Reads	ALL	96	986	12167	16	83.793276	0.759657			
All Reads	ALL	97	658	57160	16	589.887103	2.467305			
All Reads	ALL	98	328	48413	16	1002.283836	4.555224			
All Reads	ALL	99	133	6434	15	328.497441	4.095354			
All Reads	ALL	100	339	10	16	0.20031	0.063344			


