## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=picard/xplus_sns_OPM2.gc_bias_metrics.pdf SUMMARY_OUTPUT=picard/xplus_sns_OPM2.gc_summary_metrics.txt INPUT=../nfcore_sarek_rerun/xplus_sns/outdir/preprocessing/markduplicates/OPM2/OPM2.md.cram OUTPUT=picard/xplus_sns_OPM2.gc_bias_metrics.txt REFERENCE_SEQUENCE=/vulpes/proj/ngis/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/resources/GRCh38_GIABv3/unbgzipped/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 18 17:25:34 GMT 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	24	30440211	17176891	23	1.05129	0.000254			
All Reads	ALL	25	38161832	21102841	24	1.030237	0.000224			
All Reads	ALL	26	46467619	25475811	24	1.021417	0.000202			
All Reads	ALL	27	55146501	29872743	24	1.009213	0.000185			
All Reads	ALL	28	63905454	34439981	24	1.004039	0.000171			
All Reads	ALL	29	72443004	38954916	24	1.001824	0.000161			
All Reads	ALL	30	80580387	43162302	24	0.997932	0.000152			
All Reads	ALL	31	88162801	47183760	24	0.997086	0.000145			
All Reads	ALL	32	95035528	51093886	24	1.001633	0.00014			
All Reads	ALL	33	101104524	54853041	24	1.010778	0.000136			
All Reads	ALL	34	106384207	58070587	24	1.016962	0.000133			
All Reads	ALL	35	110784297	61315423	24	1.031139	0.000132			
All Reads	ALL	36	114264456	64044106	23	1.044224	0.00013			
All Reads	ALL	37	116112027	65329075	23	1.048226	0.00013			
All Reads	ALL	38	115911645	65118144	23	1.046648	0.00013			
All Reads	ALL	39	113905364	63520210	23	1.038947	0.00013			
All Reads	ALL	40	110368956	61660859	22	1.04085	0.000133			
All Reads	ALL	41	105410594	58107681	22	1.02701	0.000135			
All Reads	ALL	42	99544218	54481385	22	1.019665	0.000138			
All Reads	ALL	43	93498632	50157677	23	0.999442	0.000141			
All Reads	ALL	44	88082154	46274994	23	0.978777	0.000144			
All Reads	ALL	45	83711976	43499020	23	0.968094	0.000147			
All Reads	ALL	46	80341334	41500040	24	0.962354	0.000149			
All Reads	ALL	47	77642362	39938475	24	0.958337	0.000152			
All Reads	ALL	48	74936279	38387715	24	0.95439	0.000154			
All Reads	ALL	49	71643163	36586567	24	0.95142	0.000157			
All Reads	ALL	50	67487064	34363359	24	0.948638	0.000162			
All Reads	ALL	51	62640588	31810169	24	0.946097	0.000168			
All Reads	ALL	52	57626176	29268926	24	0.946264	0.000175			
All Reads	ALL	53	52943343	26922674	24	0.947398	0.000183			
All Reads	ALL	54	48772513	24894491	24	0.950941	0.000191			
All Reads	ALL	55	45092755	23090148	24	0.953994	0.000199			
All Reads	ALL	56	41546483	21306687	24	0.955448	0.000207			
All Reads	ALL	57	37775417	19377343	24	0.955676	0.000217			
All Reads	ALL	58	33620279	17214458	24	0.953932	0.00023			
All Reads	ALL	59	29119333	14834711	24	0.949125	0.000246			
All Reads	ALL	60	24607076	12450442	24	0.94265	0.000267			
All Reads	ALL	61	20442247	10255996	24	0.934705	0.000292			
All Reads	ALL	62	16888056	8397585	23	0.926404	0.00032			
All Reads	ALL	63	13953520	6861456	23	0.916132	0.00035			
All Reads	ALL	64	11533648	5608425	23	0.905941	0.000383			
All Reads	ALL	65	9516463	4588636	23	0.898325	0.000419			
All Reads	ALL	66	7844747	3721092	22	0.883725	0.000458			
All Reads	ALL	67	6376889	2969800	22	0.867649	0.000503			
All Reads	ALL	68	5103178	2340800	22	0.854573	0.000559			
All Reads	ALL	69	4086242	1827549	22	0.833241	0.000616			
All Reads	ALL	70	3279236	1430534	21	0.812739	0.00068			
All Reads	ALL	71	2626766	1100538	21	0.780565	0.000744			
All Reads	ALL	72	2126045	870136	21	0.762501	0.000817			
All Reads	ALL	73	1735600	690707	20	0.741429	0.000892			
All Reads	ALL	74	1432212	549913	20	0.71534	0.000965			
All Reads	ALL	75	1205854	455003	20	0.702983	0.001042			
All Reads	ALL	76	1039412	374453	20	0.671174	0.001097			
All Reads	ALL	77	914623	320512	19	0.652871	0.001153			
All Reads	ALL	78	813919	283762	19	0.649529	0.001219			
All Reads	ALL	79	710475	238987	18	0.626687	0.001282			
All Reads	ALL	80	605953	197630	19	0.60763	0.001367			
All Reads	ALL	81	510051	157195	19	0.574183	0.001448			
All Reads	ALL	82	428619	129701	19	0.563764	0.001565			
All Reads	ALL	83	352749	104813	18	0.553573	0.00171			
All Reads	ALL	84	276293	85225	18	0.574675	0.001969			
All Reads	ALL	85	200807	58284	18	0.540749	0.00224			
All Reads	ALL	86	134275	38432	18	0.533241	0.00272			
All Reads	ALL	87	88064	24851	18	0.52574	0.003335			
All Reads	ALL	88	60774	16561	17	0.507685	0.003945			
All Reads	ALL	89	39373	11074	17	0.524	0.004979			
All Reads	ALL	90	25721	6498	17	0.470671	0.005839			
All Reads	ALL	91	16577	7077	18	0.795369	0.009455			
All Reads	ALL	92	9918	2823	16	0.530289	0.009981			
All Reads	ALL	93	6247	2123	17	0.633146	0.013741			
All Reads	ALL	94	3541	77601	16	40.828829	0.146566			
All Reads	ALL	95	1700	611410	18	670.052986	0.856925			
All Reads	ALL	96	986	216434	16	408.953662	0.879046			
All Reads	ALL	97	658	3079416	16	8719.026534	4.968598			
All Reads	ALL	98	328	1046135	17	5942.092657	5.809591			
All Reads	ALL	99	133	292418	18	4096.170188	7.574883			
All Reads	ALL	100	339	31	16	0.170368	0.030599			


