patient,sample,lane,fastq_1,fastq_2
KMS12BM,KMS12BM,L002_Sample_FU-199-KMS-812-5mil-DE090-2A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A/FU-199-KMS-812-5mil-DE090-2A1A_S4_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A/FU-199-KMS-812-5mil-DE090-2A1A_S4_L002_R2_001.fastq.gz
KMS12BM,KMS12BM,L001_Sample_FU-199-KMS-812-5mil-DE090-2A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A/FU-199-KMS-812-5mil-DE090-2A1A_S4_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-KMS-812-5mil-DE090-2A1A/FU-199-KMS-812-5mil-DE090-2A1A_S4_L001_R2_001.fastq.gz
REH,REH,L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_S12_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_S12_L001_R2_001.fastq.gz
REH,REH,L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_S12_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_S12_L002_R2_001.fastq.gz
OPM2,OPM2,L002_Sample_FU-199-5mil-OPM2-DE090-1A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A/FU-199-5mil-OPM2-DE090-1A1A_S1_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A/FU-199-5mil-OPM2-DE090-1A1A_S1_L002_R2_001.fastq.gz
OPM2,OPM2,L001_Sample_FU-199-5mil-OPM2-DE090-1A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A/FU-199-5mil-OPM2-DE090-1A1A_S1_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A/FU-199-5mil-OPM2-DE090-1A1A_S1_L001_R2_001.fastq.gz
OPM2,OPM2,L001_Sample_FU-199-5mil-OPM2-DE090-1A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_1/FU-199-5mil-OPM2-DE090-1A1A_S2_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_1/FU-199-5mil-OPM2-DE090-1A1A_S2_L001_R2_001.fastq.gz
OPM2,OPM2,L002_Sample_FU-199-5mil-OPM2-DE090-1A1A_1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_1/FU-199-5mil-OPM2-DE090-1A1A_S2_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-5mil-OPM2-DE090-1A1A_1/FU-199-5mil-OPM2-DE090-1A1A_S2_L002_R2_001.fastq.gz
REH,REH,L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_S11_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_S11_L002_R2_001.fastq.gz
REH,REH,L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_S11_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_S11_L001_R2_001.fastq.gz
REH,REH,L001_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_S10_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_S10_L001_R2_001.fastq.gz
REH,REH,L002_Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_S10_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/FU-199-REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_S10_L002_R2_001.fastq.gz
MM1S,MM1S,L002_Sample_FU-199-MM1-S-5mil-DE090-3A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A/FU-199-MM1-S-5mil-DE090-3A1A_S7_L002_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A/FU-199-MM1-S-5mil-DE090-3A1A_S7_L002_R2_001.fastq.gz
MM1S,MM1S,L001_Sample_FU-199-MM1-S-5mil-DE090-3A1A,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A/FU-199-MM1-S-5mil-DE090-3A1A_S7_L001_R1_001.fastq.gz,/proj/ngi2016004/private/strategic_proj/SR_23_02_Element_vs_Illumina/data/wgs/Illumina_XPLUS_Uppsala_SNPnSeq_FU-199/20231205_LH00179_0017_B22GHKTLT3/Sample_FU-199-MM1-S-5mil-DE090-3A1A/FU-199-MM1-S-5mil-DE090-3A1A_S7_L001_R2_001.fastq.gz

