patient,sample,lane,fastq_1,fastq_2
MM1S,MM1S,20231208_PLT-04_EBSL-0478-OBPA_MM1-S-5mil-DE090-3A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-3/MM1-S-5mil-DE090-3A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/MM1-S-5mil-DE090-3A1A-3/MM1-S-5mil-DE090-3A1A-3_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-1/5mil-OPM2-DE090-1A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-1/5mil-OPM2-DE090-1A1A-1_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-2/5mil-OPM2-DE090-1A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-2/5mil-OPM2-DE090-1A1A-2_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0477-OBPA_5mil-OPM2-DE090-1A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-3/5mil-OPM2-DE090-1A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-3/5mil-OPM2-DE090-1A1A-3_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-1/5mil-OPM2-DE090-1A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-1/5mil-OPM2-DE090-1A1A-1_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-2/5mil-OPM2-DE090-1A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-2/5mil-OPM2-DE090-1A1A-2_R2.fastq.gz
OPM2,OPM2,20231208_PLT-04_EBSL-0478-OBPA_5mil-OPM2-DE090-1A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-3/5mil-OPM2-DE090-1A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/5mil-OPM2-DE090-1A1A-3/5mil-OPM2-DE090-1A1A-3_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0477-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0477-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-1_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-2_R2.fastq.gz
REH,REH,20231208_PLT-04_EBSL-0478-OBPA_REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_R1.fastq.gz,./../../../data/wgs/Element_AVITI_HQ/20231208_PLT-04_EBSL-0478-OBPA/Samples/DefaultProject/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3/REH-wb-8-0-milj-1211190-P7-DE056-4A1A-3_R2.fastq.gz
